sku_prefix,sku_suffix,lineitem_name
FAV-MP,pkt,"Fava, 'Masterpiece' - Pkt"
FAV-MP,1/2lb,"Fava, 'Masterpiece' - 1/2 lb"
FAV-MP,1lb,"Fava, 'Masterpiece' - 1 lb"
GAR-BK,pkt,"Garbanzo, 'Black Kabouli' - Pkt"
GAR-BK,1/2lb,"Garbanzo, 'Black Kabouli' - 1/2 lb"
GAR-BK,1lb,"Garbanzo, 'Black Kabouli' - 1 lb"
BEA-CI,pkt,Cicerchia - Pkt
BEA-CI,1/2lb,Cicerchia - 1/2 lb
BEA-TA,pkt,"Bean, Pole Dry, 'Alaric' - Pkt"
BEA-TA,1/2lb,"Bean, Pole Dry, 'Alaric' - 1/2 lb"
BEA-AT,pkt,"Bean, Pole Dry, 'Tolosa' - Pkt"
BEA-AT,1/2lb,"Bean, Pole Dry, 'Tolosa' - 1/2 lb"
BEA-AJ,pkt,"Bean, Pole Dry, 'Annie Jackson' - Pkt"
BEA-AJ,1/2lb,"Bean, Pole Dry, 'Annie Jackson' - 1/2 lb"
BEA-BG,pkt,"Bean, Pole Dry, 'Borlotto Gaston' - Pkt"
BEA-BG,1/2lb,"Bean, Pole Dry, 'Borlotto Gaston' - 1/2 lb"
BEA-BG,1lb,"Bean, Pole Dry, 'Borlotto Gaston' - 1 lb"
BEA-PA,pkt,"Bean, Pole Dry, 'Papa de Rola' - Pkt"
BEA-PA,1/2lb,"Bean, Pole Dry, 'Papa de Rola' - 1/2 lb"
BEA-PE,pkt,"Bean, Pole Dry, 'Pellegrini' - Pkt"
BEA-PE,1/2lb,"Bean, Pole Dry, 'Pellegrini' - 1/2 lb"
BEA-PE,1lb,"Bean, Pole Dry, 'Pellegrini' - 1 lb"
BEA-SO,pkt,"Bean, Pole Dry, 'Pescia' - Pkt"
BEA-SO,1/2lb,"Bean, Pole Dry, 'Pescia' - 1/2 lb"
BEA-FO,pkt,"Bean, Pole Snap, 'Fortex' - Pkt"
BEA-FO,1/2lb,"Bean, Pole Snap, 'Fortex' - 1/2 lb"
BEA-MV,pkt,"Bean, Pole Snap, 'Marvel of Venice' - Pkt"
BEA-MV,1/2lb,"Bean, Pole Snap, 'Marvel of Venice' - 1/2 lb"
BEA-TV,pkt,"Bean, Pole Snap, 'Trionfo Violetto' - Pkt"
BEA-TV,1/2lb,"Bean, Pole Snap, 'Trionfo Violetto' - 1/2 lb"
BEA-SE,pkt,"Bean, Pole Runner, 'Scarlet Emperor' - Pkt"
BEA-SE,1/2lb,"Bean, Pole Runner, 'Scarlet Emperor' - 1/2 lb"
BEE-3B,pkt,"Beet, '3 Beet Mix' - Pkt"
BEE-BO,pkt,"Beet, 'Boston' - Pkt"
BEE-BO,1/2oz,
BEE-BO,1oz,"Beet, 'Boston' - 1oz"
BEE-BO,1/4lb,"Beet, 'Boston' - 1/4lb"
BEE-BO,1lb,"Beet, 'Boston' - 1lb"
BEE-CH,pkt,"Beet, 'Chioggia' - Pkt"
BEE-CH,1/2oz,
BEE-CH,1oz,"Beet, 'Chioggia' - 1oz"
BEE-CH,1/4lb,"Beet, 'Chioggia' - 1/4lb"
BEE-CH,1lb,"Beet, 'Chioggia' - 1lb"
BEE-CR,pkt,"Beet, 'Crapaudine' - Pkt"
BEE-CR,1/2oz,
BEE-CR,1oz,"Beet, 'Crapaudine' - 1oz"
BEE-CR,1/4lb,"Beet, 'Crapaudine' - 1/4lb"
BEE-CR,1/2lb,
BEE-CR,1lb,"Beet, 'Crapaudine' - 1lb"
BEE-CR,5lb,"Beet, 'Crapaudine' - 5 lb"
