Lot,Date,Lbs,Notes
AMA-CF-UO16,2024-11-25,21.24,stock saved
SCA-GY-UO20,2024-11-25,0.73,stock saved
AMA-HB-UO15,2024-11-25,1.77,stock saved
AST-TC-UO21,2024-11-25,0.04,stock saved
LET-QH-UO21,2024-11-25,0.1,stock saved
NAS-AL-UO20,2024-11-25,0.57,stock saved
LET-ME-UO21,2024-11-25,0.97,stock saved
KAL-3K-UO23,2024-11-25,0.36,
BEE-CR-MP22,2024-11-25,18.7,"terrible germ, "
LUP-DT-UO22,2024-11-25,0,no stock saved
BEA-PE-UO20,2024-11-26,0,no stock saved
BEA-TP-UO22,2024-11-26,0,no stock saved
BEA-HR-UO18,2024-11-26,3.84,no stock saved
FLO-SA-UO22,2024-11-26,0.15,stock saved
SQU-BF-TR22,2024-11-27,1.6,seed not true to type? No stock saved
HER-PJ-AV22,2024-11-27,3.02,stock saved
CAU-PR-UO17,2024-12-02,4.82,stock saved
CAU-PR-UO21,2024-12-02,0.67,stock saved (never sent for pathology)
ONI-RL-UO19,2024-12-02,1.04,stock saved (bad germ)
MEL-SS-UO21,2024-12-03,0.14,stock saved
PEP-SG-UO21,2024-12-05,0.33,stock saved
RUD-PG-UO19,2024-12-05,0.13,stock saved
FOX-AB-UO17,2024-12-05,2.44,stock saved
SAL-TV-UO18,2024-12-05,1.48,stock saved
SAP-WB-UO19,2024-12-05,1.58,stock saved
VRB-AS-UO17,2024-12-05,0.31,stock saved
VRB-PM-UO17,2024-12-05,0.94,stock saved
BEE-CR-UO19,2024-12-05,3.85,stock saved
ZUC-DS-SR21,2024-12-05,0.52,all 0.52 lb saved for stock
TOM-AL-UO21,2024-12-05,0,no stock saved
SCA-SB-UO20,2024-12-05,0.33,No stock seed saved (per Brian)
SUN-RE-UO20,2024-12-05,0,saved 2 oz stock seed
PEP-CZ-UO22,2024-12-09,0,stock saved
PEP-LY-UO22,2024-12-09,0,stock saved
PEP-YN-UO23,2024-12-09,0,stock saved
BEA-MX-UO21,2024-12-10,13.45,"moved to new lot, stock saved"
GRE-GF-UO18,2024-12-11,7.31,stock saved
SUN-TA-WF18,2024-12-11,0.86,stock saved
CAB-DO-UO19,2024-12-11,0,stock saved
SMA-VG-SM19,2024-12-11,0.01,
AST-TS-MP20,2024-12-16,0.35,old/bad germ. stock saved
PEA-MA-FF18,2024-12-17,0,no stock saved
TGC-AM-UO18,2024-12-19,0.11,stock saved
CAL-MX-UO21,2024-12-19,0,no stock saved
HER-PJ-AV23-1,2024-12-20,4.36,"bad germ, no stock saved"
GRE-GW-WF19,2024-12-20,0.4,saved stock
HER-PJ-AV23-2,2024-12-26,2.16,Likely retiring due to poor germ - will save as stock seed
POP-AG-TR21,2024-12-30,0,no stock saved (per Brian)
SWP-WR-UO21,2024-12-31,0.3,All remaining seed saved for stock
SCA-FB-UO23,2024-12-31,0,no stock saved
RUD-PR-TR21,2024-12-31,0.23,"Bad germ, stock saved"
CAB-M2-MP21,2025-01-02,0,stock saved (500 seeds)
TOM-SB-UO23,2025-01-06,0.05,stock saved
TOM-MS-UO23,2025-01-06,0.03,stock saved
TOM-CL-UO23,2025-01-06,0.07,stock saved
GRE-BC-AV19,2025-01-07,2.14,stock saved
MEL-PF-UO19,2025-01-08,1.3,stock saved
NIG-BS-UO18,2025-01-09,0.11,stock saved
PEP-MA-UO24,2025-01-14,0,150  seeds saved for stock
SMA-BT-SM19,2025-01-14,0,3+ packets left over
SMA-BE-SM24,2025-01-14,0,2+ pkts left over
SMA-DT-SM19,2025-01-14,0,1+ pkt left over
SMA-ET-SM24,2025-01-14,0,2+ pkts left over
SMA-LT-SM24,2025-01-14,0,1+ pkt leftover
SMA-MB-SM24,2025-01-14,0,2+ pkts leftover
SMA-PA-SM24,2025-01-14,0,1+ pkt leftover
SMA-PA-SM25,2025-01-14,0,No seed found
SMA-PN-SM19,2025-01-14,0,4+ pkts leftover
SMA-PN-SM24,2025-01-14,0,3+ pkts leftover
SMA-PQ-SM24,2025-01-14,0,2+ pkts leftover
SMA-RM-SM24,2025-01-14,0,3+ pkts leftover
SMA-RR-SM19,2025-01-14,0,2+ pkts leftover
SMA-SA-SM19,2025-01-14,0,1+ pkts leftover
SMA-SG-SM24,2025-01-14,0,4+ pkts leftover
SMA-SH-SM24,2025-01-14,0,2+ pkts leftover
SMA-VE-SM19,2025-01-14,0,1+ pkt leftover
SMA-VE-SM24,2025-01-14,0,3+ pkts leftover
BEA-CI-UO19,2025-01-17,0,no stock saved
STR-SR-UO20,2025-01-20,0.17,remaining seed saved as stock
