lot_id,sku_prefix,grower_code,growout_year,harvest,external_lot_id,low_inv,status
2,LEE-LN,WG,20,,,FALSE,Active
3,LEE-NE,AV,20,,,FALSE,Active
4,ONI-AC,UO,21,,,FALSE,Active
5,ONI-ER,TR,20,,,FALSE,Active
6,ONI-IS,UO,21,,,FALSE,Active
7,ONI-IS,UO,22,,,FALSE,Active
8,ONI-NY,WG,19,,,FALSE,Active
9,ONI-NY,WG,21,,,FALSE,Active
10,ONI-RJ,UO,20,,,FALSE,Active
11,ONI-RL,UO,19,,,FALSE,Active
12,ONI-RL,UO,23,,,FALSE,Active
13,ONI-RM,TR,20,,,FALSE,Active
14,ONI-SR,UO,22,,,FALSE,Active
15,ONI-SS,WG,20,,,FALSE,Active
